"","contig_id","contig_length","provirus","proviral_length","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","kmer_freq","warnings","Genome","contig_fasta","Genomefasta"
"1","CAPD01000037.1",2519,"No",NA,2,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_000367665.2_ASM36766v2","CAPD01000037.1","CheckV/GCA_000367665.2"
"2","CAPD01000014.1|provirus_1_8008",8008,"No",NA,11,6,0,"Low-quality","Genome-fragment",17.89,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_000367665.2_ASM36766v2","CAPD01000014.1","CheckV/GCA_000367665.2"
"3","CAPD01000013.1|provirus_634713_652745",18033,"Yes",16022,28,16,2,"Low-quality","Genome-fragment",37.98,"AAI-based","(high-confidence)",11.15,"1.0","CheckV/GCA_000367665.2_ASM36766v2","CAPD01000013.1","CheckV/GCA_000367665.2"
"4","CBVU010000007.1|provirus_597510_613320",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_000513355.1_EA_LA637","CBVU010000007.1","CheckV/GCA_000513355.1"
"5","CBVT010000007.1|provirus_597528_613338",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_000513395.1_EA_LA636","CBVT010000007.1","CheckV/GCA_000513395.1"
"6","CBVS010000007.1|provirus_597528_613338",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_000513415.1_EA_LA635","CBVS010000007.1","CheckV/GCA_000513415.1"
"7","JMSO01000059.1",44873,"No",NA,71,31,1,"High-quality","High-quality",98.67,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000059.1","CheckV/GCA_001078075.1"
"8","JMSO01000250.1",38886,"No",NA,66,43,0,"Medium-quality","Genome-fragment",86.48,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000250.1","CheckV/GCA_001078075.1"
"9","JMSO01000259.1",40184,"No",NA,58,40,0,"Medium-quality","Genome-fragment",84.39,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000259.1","CheckV/GCA_001078075.1"
"10","JMSO01000297.1",7686,"No",NA,14,8,0,"Low-quality","Genome-fragment",14.33,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000297.1","CheckV/GCA_001078075.1"
"11","JMSO01000307.1",6376,"No",NA,7,3,0,"Low-quality","Genome-fragment",18.67,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000307.1","CheckV/GCA_001078075.1"
"12","JMSO01000092.1",8741,"No",NA,10,0,7,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000092.1","CheckV/GCA_001078075.1"
"13","JMSO01000180.1",3971,"No",NA,3,0,3,"Low-quality","Genome-fragment",1.21,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000180.1","CheckV/GCA_001078075.1"
"14","JMSO01000032.1",2551,"No",NA,4,3,0,"Low-quality","Genome-fragment",7.42,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000032.1","CheckV/GCA_001078075.1"
"15","JMSO01000456.1",380,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000456.1","CheckV/GCA_001078075.1"
"16","JMSO01000195.1|provirus_2_5043",5042,"No",NA,11,8,0,"Low-quality","Genome-fragment",15.18,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000195.1","CheckV/GCA_001078075.1"
"17","JMSO01000051.1|provirus_32_40070",40039,"Yes",36199,51,28,3,"Medium-quality","Genome-fragment",78.27,"AAI-based","(high-confidence)",9.59,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000051.1","CheckV/GCA_001078075.1"
"18","JMSO01000050.1|provirus_13708_25148",11441,"No",NA,21,7,0,"Low-quality","Genome-fragment",22.97,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000050.1","CheckV/GCA_001078075.1"
"19","JMSO01000122.1|provirus_71_4568",4498,"No",NA,10,4,0,"Low-quality","Genome-fragment",10.11,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000122.1","CheckV/GCA_001078075.1"
"20","JMSO01000191.1|provirus_12515_18131",5617,"No",NA,7,7,0,"Low-quality","Genome-fragment",16.4,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCA_001078075.1_ASM107807v1","JMSO01000191.1","CheckV/GCA_001078075.1"
"21","LAGP01000014.1",9123,"No",NA,11,8,0,"Low-quality","Genome-fragment",19.01,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000014.1","CheckV/GCA_001602545.1"
"22","LAGP01000018.1",13439,"No",NA,28,7,0,"Low-quality","Genome-fragment",26.88,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000018.1","CheckV/GCA_001602545.1"
"23","LAGP01000019.1",25893,"No",NA,33,23,1,"Medium-quality","Genome-fragment",55.76,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000019.1","CheckV/GCA_001602545.1"
"24","LAGP01000015.1",18337,"No",NA,25,17,1,"Low-quality","Genome-fragment",38.13,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000015.1","CheckV/GCA_001602545.1"
"25","LAGP01000017.1",11374,"No",NA,12,3,0,"Low-quality","Genome-fragment",31.6,"HMM-based","(lower-bound)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000017.1","CheckV/GCA_001602545.1"
"26","LAGP01000020.1",3709,"No",NA,9,2,0,"Low-quality","Genome-fragment",7.55,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000020.1","CheckV/GCA_001602545.1"
"27","LAGP01000007.1|provirus_125202_138482",13281,"No",NA,21,17,0,"Low-quality","Genome-fragment",39.69,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000007.1","CheckV/GCA_001602545.1"
"28","LAGP01000029.1|provirus_96401_145265",48865,"No",NA,83,50,1,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000029.1","CheckV/GCA_001602545.1"
"29","LAGP01000013.1|provirus_15285_34340",19056,"No",NA,34,10,0,"Low-quality","Genome-fragment",43.94,"AAI-based","(medium-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000013.1","CheckV/GCA_001602545.1"
"30","LAGP01000035.1|provirus_7177_65041",57865,"No",NA,86,55,1,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602545.1_ASM160254v1","LAGP01000035.1","CheckV/GCA_001602545.1"
"31","LAGQ01000190.1",1482,"No",NA,4,2,0,"Low-quality","Genome-fragment",3.43,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000190.1","CheckV/GCA_001602555.1"
"32","LAGQ01000031.1",1917,"No",NA,4,3,0,"Low-quality","Genome-fragment",4.32,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000031.1","CheckV/GCA_001602555.1"
"33","LAGQ01000030.1",5053,"No",NA,7,7,0,"Low-quality","Genome-fragment",11.87,"AAI-based","(high-confidence)",0,"1","CheckV/GCA_001602555.1_ASM160255v1","LAGQ01000030.1","CheckV/GCA_001602555.1"
