"","seq_name","length","topology","coordinates","n_genes","genetic_code","virus_score","fdr","n_hallmarks","marker_enrichment","taxonomy","Genome"
"1","CAPD01000013.1|provirus_634713_652745",18033,"Provirus","634713-652745","28",11,0.999,NA,8,27.892,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_000367665.2_ASM36766v2_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_virus_summary.tsv"
"2","CAPD01000014.1|provirus_1_8008",8008,"Provirus","1-8008","11",11,0.9956,NA,4,9.3544,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_000367665.2_ASM36766v2_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_virus_summary.tsv"
"3","CAPD01000037.1",2519,"No","terminal","repeats",NA,2,11,0.9917,NA,"0","GCA_000367665.2_ASM36766v2_genomic_summary/GCA_000367665.2_ASM36766v2_genomic_virus_summary.tsv"
"4","CBVU010000007.1|provirus_597510_613320",15811,"Provirus","597510-613320","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_000513355.1_EA_LA637_genomic_summary/GCA_000513355.1_EA_LA637_genomic_virus_summary.tsv"
"5","CBVT010000007.1|provirus_597528_613338",15811,"Provirus","597528-613338","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_000513395.1_EA_LA636_genomic_summary/GCA_000513395.1_EA_LA636_genomic_virus_summary.tsv"
"6","CBVS010000007.1|provirus_597528_613338",15811,"Provirus","597528-613338","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_000513415.1_EA_LA635_genomic_summary/GCA_000513415.1_EA_LA635_genomic_virus_summary.tsv"
"7","JMSO01000259.1",40184,"No","terminal","repeats",NA,58,11,0.9998,NA,"16","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"8","JMSO01000122.1|provirus_71_4568",4498,"Provirus","71-4568","10",11,0.9998,NA,0,5.5377,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"9","JMSO01000051.1|provirus_32_40070",40039,"Provirus","32-40070","51",11,0.9998,NA,15,56.7363,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"10","JMSO01000297.1",7686,"No","terminal","repeats",NA,14,11,0.9998,NA,"2","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"11","JMSO01000250.1",38886,"No","terminal","repeats",NA,66,11,0.9997,NA,"14","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"12","JMSO01000050.1|provirus_13708_25148",11441,"Provirus","13708-25148","21",11,0.9997,NA,1,18.1616,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"13","JMSO01000191.1|provirus_12515_18131",5617,"Provirus","12515-18131","7",11,0.9995,NA,5,8.759,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"14","JMSO01000195.1|provirus_2_5043",5042,"Provirus","2-5043","11",11,0.9994,NA,8,15.0586,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"15","JMSO01000059.1",44873,"No","terminal","repeats",NA,71,11,0.9991,NA,"16","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"16","JMSO01000032.1",2551,"No","terminal","repeats",NA,4,11,0.9975,NA,"3","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"17","JMSO01000307.1",6376,"No","terminal","repeats",NA,7,11,0.9912,NA,"1","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"18","JMSO01000092.1",8741,"No","terminal","repeats",NA,10,11,0.971,NA,"0","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"19","JMSO01000180.1",3971,"No","terminal","repeats",NA,3,11,0.9218,NA,"0","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"20","JMSO01000456.1",380,"No","terminal","repeats",NA,1,11,0.8453,NA,"1","GCA_001078075.1_ASM107807v1_genomic_summary/GCA_001078075.1_ASM107807v1_genomic_virus_summary.tsv"
"21","LAGP01000014.1",9123,"No","terminal","repeats",NA,11,11,0.9998,NA,"5","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"22","LAGP01000015.1",18337,"No","terminal","repeats",NA,25,11,0.9998,NA,"9","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"23","LAGP01000019.1",25893,"No","terminal","repeats",NA,33,11,0.9997,NA,"14","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"24","LAGP01000035.1|provirus_7177_65041",57865,"Provirus","7177-65041","85",11,0.9997,NA,20,95.6746,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"25","LAGP01000029.1|provirus_96401_145265",48865,"Provirus","96401-145265","81",11,0.9997,NA,13,80.7889,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"26","LAGP01000013.1|provirus_15285_34340",19056,"Provirus","15285-34340","34",11,0.9997,NA,2,29.3945,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"27","LAGP01000007.1|provirus_125202_138482",13281,"Provirus","125202-138482","21",11,0.9994,NA,15,26.7301,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"28","LAGP01000018.1",13439,"No","terminal","repeats",NA,28,11,0.9986,NA,"2","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"29","LAGP01000020.1",3709,"No","terminal","repeats",NA,9,11,0.995,NA,"0","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"30","LAGP01000017.1",11374,"No","terminal","repeats",NA,12,11,0.9598,NA,"1","GCA_001602545.1_ASM160254v1_genomic_summary/GCA_001602545.1_ASM160254v1_genomic_virus_summary.tsv"
"31","LAGQ01000030.1",5053,"No","terminal","repeats",NA,7,11,0.9998,NA,"6","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"32","LAGQ01000032.1|provirus_1_7390",7390,"Provirus","1-7390","10",11,0.9998,NA,2,11.2313,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"33","LAGQ01000187.1",10279,"No","terminal","repeats",NA,16,11,0.9997,NA,"6","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"34","LAGQ01000070.1|provirus_28777_62779",34003,"Provirus","28777-62779","44",11,0.9996,NA,22,48.1709,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"35","LAGQ01000070.1|provirus_5208_18487",13280,"Provirus","5208-18487","21",11,0.9993,NA,15,26.7301,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"36","LAGQ01000057.1|provirus_2_18823",18822,"Provirus","2-18823","30",11,0.9992,NA,1,27.3543,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
"37","LAGQ01000031.1",1917,"No","terminal","repeats",NA,4,11,0.9992,NA,"3","GCA_001602555.1_ASM160255v1_genomic_summary/GCA_001602555.1_ASM160255v1_genomic_virus_summary.tsv"
