"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Genome","Genome2"
"1","GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins_AbiE_1","AbiE","AbiE","Defense","CAPD01000010.1_1","CAPD01000010.1_2","CAPD01000010.1_1,CAPD01000010.1_2",2,"AbiEii__AbiEi_3,AbiEii__AbiEii","GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins/GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins_systems.tsv","GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins/GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins_systems.tsv"
"2","GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins_Dazbog_2","Dazbog","Dazbog","Defense","CAPD01000006.1_204","CAPD01000006.1_205","CAPD01000006.1_204,CAPD01000006.1_205",2,"Dazbog__DzbA,Dazbog__DzbB","GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins/GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins_systems.tsv","GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins/GCA_000367665.2_ASM36766v2_genomic_plasmid_proteins_systems.tsv"
"3","GCA_001078075.1_ASM107807v1_genomic_plasmid_proteins_Toga_3","Toga","Toga","Defense","JMSO01000243.1_23","JMSO01000243.1_23","JMSO01000243.1_23",1,"Toga__Toga","GCA_001078075.1","GCA_001078075.1"
"4","GCA_001078075.1_ASM107807v1_genomic_plasmid_proteins_DNA_met_RM_Type_II_PDDEXK_5","RM_Type_II","DNA_met_RM_Type_II_PDDEXK","Defense","JMSO01000243.1_24","JMSO01000243.1_25","JMSO01000243.1_24,JMSO01000243.1_25",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase27","GCA_001078075.1","GCA_001078075.1"
"5","GCA_001078075.1_ASM107807v1_genomic_plasmid_proteins_Dnd_ABCDE_1","Dnd","Dnd_ABCDE","Defense","JMSO01000023.1_2","JMSO01000023.1_5","JMSO01000023.1_2,JMSO01000023.1_3,JMSO01000023.1_4,JMSO01000023.1_5",4,"Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_001078075.1","GCA_001078075.1"
"6","GCA_001078075.1_ASM107807v1_genomic_plasmid_proteins_HEC-09_2","HEC-09","HEC-09","Defense","JMSO01000224.1_8","JMSO01000224.1_8","JMSO01000224.1_8",1,"HEC-09__HEC-09","GCA_001078075.1","GCA_001078075.1"
"7","GCA_001078075.1_ASM107807v1_genomic_plasmid_proteins_RM_Type_II_7","RM","RM_Type_II","Defense","JMSO01000314.1_1","JMSO01000314.1_2","JMSO01000314.1_1,JMSO01000314.1_2",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase01","GCA_001078075.1","GCA_001078075.1"
"8","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_DNA_met_RM_Type_II_PDDEXK_5","RM_Type_II","DNA_met_RM_Type_II_PDDEXK","Defense","LAGP01000081.1_47","LAGP01000081.1_48","LAGP01000081.1_47,LAGP01000081.1_48",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase09","GCA_001602545.1","GCA_001602545.1"
"9","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_Other_Type_IV_2","Other_Type_IV","Other_Type_IV","Defense","LAGP01000101.1_4","LAGP01000101.1_4","LAGP01000101.1_4",1,"RM_Type_IV__Type_IV_03","GCA_001602545.1","GCA_001602545.1"
"10","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_RM_Type_IV_9","RM","RM_Type_IV","Defense","LAGP01000101.1_4","LAGP01000101.1_4","LAGP01000101.1_4",1,"RM_Type_IV__Type_IV_03","GCA_001602545.1","GCA_001602545.1"
"11","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_Other_Type_IV_2","Other_Type_IV","Other_Type_IV","Defense","LAGP01000101.1_4","LAGP01000101.1_4","LAGP01000101.1_4",1,"RM_Type_IV__Type_IV_03","GCA_001602545.1","GCA_001602545.1"
"12","GCA_001602545.1_ASM160254v1_genomic_plasmid_proteins_RM_Type_IV_9","RM","RM_Type_IV","Defense","LAGP01000101.1_4","LAGP01000101.1_4","LAGP01000101.1_4",1,"RM_Type_IV__Type_IV_03","GCA_001602545.1","GCA_001602545.1"
