"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Genome"
"1","CAPD01000026.1_RM_Type_II_9","RM","RM_Type_II","Defense","CAPD01000026.1_185","CAPD01000026.1_186","CAPD01000026.1_185,CAPD01000026.1_186",2,"RM_Type_II__Type_II_MTases_FAM_5,RM_Type_II__Type_II_REase09","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"2","CAPD01000022.1_Mok_Hok_Sok_4","Mok_Hok_Sok","Mok_Hok_Sok","Defense","CAPD01000022.1_234","CAPD01000022.1_234","CAPD01000022.1_234",1,"Mok_Hok_Sok__Hok","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"3","CAPD01000016.1_Prometheus_1","Prometheus","Prometheus","Defense","CAPD01000016.1_507","CAPD01000016.1_507","CAPD01000016.1_507",1,"Prometheus__ProA","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"4","CAPD01000016.1_RM_Type_IV_13","RM","RM_Type_IV","Defense","CAPD01000016.1_508","CAPD01000016.1_508","CAPD01000016.1_508",1,"RM_Type_IV__Type_IV_03","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"5","CAPD01000012.1_Hachiman_6","Hachiman","Hachiman","Defense","CAPD01000012.1_13","CAPD01000012.1_14","CAPD01000012.1_13,CAPD01000012.1_14",2,"Hachiman__HamA_1,Hachiman__HamB","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"6","CAPD01000010.1_AbiE_8","AbiE","AbiE","Defense","CAPD01000010.1_1","CAPD01000010.1_2","CAPD01000010.1_1,CAPD01000010.1_2",2,"AbiEii__AbiEi_3,AbiEii__AbiEii","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"7","CAPD01000006.1_Dazbog_5","Dazbog","Dazbog","Defense","CAPD01000006.1_207","CAPD01000006.1_208","CAPD01000006.1_207,CAPD01000006.1_208",2,"Dazbog__DzbA,Dazbog__DzbB","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"8","CAPD01000005.1_RM_Type_II_12","RM","RM_Type_II","Defense","CAPD01000005.1_119","CAPD01000005.1_120","CAPD01000005.1_119,CAPD01000005.1_120",2,"RM_Type_II__Type_II_MTases_FAM_15,RM_Type_II__Type_II_REase16","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"9","CAPD01000005.1_Menshen_3","Menshen","Menshen","Defense","CAPD01000005.1_137","CAPD01000005.1_139","CAPD01000005.1_137,CAPD01000005.1_138,CAPD01000005.1_139",3,"Menshen__NsnA,Menshen__NsnB,Menshen__NsnC_2726213746","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"10","CAPD01000005.1_RM_Type_I_11","RM","RM_Type_I","Defense","CAPD01000005.1_142","CAPD01000005.1_145","CAPD01000005.1_142,CAPD01000005.1_143,CAPD01000005.1_145",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_04","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"11","CAPD01000005.1_Gabija_2","Gabija","Gabija","Defense","CAPD01000005.1_150","CAPD01000005.1_151","CAPD01000005.1_150,CAPD01000005.1_151",2,"Gabija__GajA,Gabija__GajB_2","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"12","CAPD01000005.1_CAS_Class1-Subtype-I-E_14","Cas","CAS_Class1-Subtype-I-E","Defense","CAPD01000005.1_295","CAPD01000005.1_302","CAPD01000005.1_295,CAPD01000005.1_296,CAPD01000005.1_297,CAPD01000005.1_298,CAPD01000005.1_299,CAPD01000005.1_300,CAPD01000005.1_301,CAPD01000005.1_302",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCA_000367665.2_ASM36766v2_genomic/GCA_000367665.2_ASM36766v2_genomic_systems.tsv"
"13","CAPE01000025.1_Mok_Hok_Sok_5","Mok_Hok_Sok","Mok_Hok_Sok","Defense","CAPE01000025.1_98","CAPE01000025.1_98","CAPE01000025.1_98",1,"Mok_Hok_Sok__Hok","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"14","CAPE01000016.1_Prometheus_4","Prometheus","Prometheus","Defense","CAPE01000016.1_216","CAPE01000016.1_216","CAPE01000016.1_216",1,"Prometheus__ProA","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"15","CAPE01000016.1_RM_Type_IV_6","RM","RM_Type_IV","Defense","CAPE01000016.1_217","CAPE01000016.1_217","CAPE01000016.1_217",1,"RM_Type_IV__Type_IV_03","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"16","CAPE01000010.1_RM_Type_III_7","RM","RM_Type_III","Defense","CAPE01000010.1_13","CAPE01000010.1_15","CAPE01000010.1_13,CAPE01000010.1_15",2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"17","CAPE01000008.1_AbiE_1","AbiE","AbiE","Defense","CAPE01000008.1_436","CAPE01000008.1_437","CAPE01000008.1_436,CAPE01000008.1_437",2,"AbiEii__AbiEi_3,AbiEii__AbiEii","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"18","CAPE01000007.1_CAS_Class1-Subtype-I-E_10","Cas","CAS_Class1-Subtype-I-E","Defense","CAPE01000007.1_25","CAPE01000007.1_34","CAPE01000007.1_25,CAPE01000007.1_26,CAPE01000007.1_27,CAPE01000007.1_28,CAPE01000007.1_29,CAPE01000007.1_31,CAPE01000007.1_33,CAPE01000007.1_34",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"19","CAPE01000006.1_Menshen_3","Menshen","Menshen","Defense","CAPE01000006.1_146","CAPE01000006.1_149","CAPE01000006.1_146,CAPE01000006.1_147,CAPE01000006.1_149",3,"Menshen__NsnA,Menshen__NsnB,Menshen__NsnC_2726213746","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"20","CAPE01000006.1_RM_Type_I_9","RM","RM_Type_I","Defense","CAPE01000006.1_154","CAPE01000006.1_157","CAPE01000006.1_154,CAPE01000006.1_155,CAPE01000006.1_157",3,"RM__Type_I_MTases_FAM_1,RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"21","CAPE01000006.1_Gabija_2","Gabija","Gabija","Defense","CAPE01000006.1_163","CAPE01000006.1_164","CAPE01000006.1_163,CAPE01000006.1_164",2,"Gabija__GajA,Gabija__GajB_2","GCA_000367685.2_ASM36768v2_genomic/GCA_000367685.2_ASM36768v2_genomic_systems.tsv"
"22","CBVU010000002.1_RM_Type_IV_6","RM","RM_Type_IV","Defense","CBVU010000002.1_44","CBVU010000002.1_45","CBVU010000002.1_44,CBVU010000002.1_45",2,"RM_Type_IV__FAM_1,RM_Type_IV__Type_IV_01","GCA_000513355.1"
"23","CBVU010000005.1_Dnd_ABCDEFGH_3","Dnd","Dnd_ABCDEFGH","Defense","CBVU010000005.1_118","CBVU010000005.1_126","CBVU010000005.1_118,CBVU010000005.1_119,CBVU010000005.1_120,CBVU010000005.1_123,CBVU010000005.1_124,CBVU010000005.1_125,CBVU010000005.1_126",7,"Dnd_ABCDEFGH__DptF,Dnd_ABCDEFGH__DptG,Dnd_ABCDEFGH__DptH,Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_000513355.1"
"24","CBVU010000006.1_RM_Type_III_7","RM","RM_Type_III","Defense","CBVU010000006.1_12","CBVU010000006.1_13","CBVU010000006.1_12,CBVU010000006.1_13",2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","GCA_000513355.1"
"25","CBVU010000006.1_Prometheus_1","Prometheus","Prometheus","Defense","CBVU010000006.1_1337","CBVU010000006.1_1337","CBVU010000006.1_1337",1,"Prometheus__ProA","GCA_000513355.1"
"26","CBVU010000006.1_RM_Type_IV_8","RM","RM_Type_IV","Defense","CBVU010000006.1_1338","CBVU010000006.1_1338","CBVU010000006.1_1338",1,"RM_Type_IV__Type_IV_03","GCA_000513355.1"
"27","CBVU010000007.1_CAS_Class1-Subtype-I-E_9","Cas","CAS_Class1-Subtype-I-E","Defense","CBVU010000007.1_81","CBVU010000007.1_88","CBVU010000007.1_81,CBVU010000007.1_82,CBVU010000007.1_83,CBVU010000007.1_84,CBVU010000007.1_85,CBVU010000007.1_86,CBVU010000007.1_87,CBVU010000007.1_88",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCA_000513355.1"
"28","CBVU010000007.1_Mok_Hok_Sok_4","Mok_Hok_Sok","Mok_Hok_Sok","Defense","CBVU010000007.1_323","CBVU010000007.1_323","CBVU010000007.1_323",1,"Mok_Hok_Sok__Hok","GCA_000513355.1"
"29","CBVU010000008.1_RM_Type_II_5","RM","RM_Type_II","Defense","CBVU010000008.1_246","CBVU010000008.1_247","CBVU010000008.1_246,CBVU010000008.1_247",2,"RM_Type_II__Type_II_MTases_FAM_5,RM_Type_II__Type_II_REase09","GCA_000513355.1"
"30","CBVT010000002.1_RM_Type_IV_5","RM","RM_Type_IV","Defense","CBVT010000002.1_44","CBVT010000002.1_45","CBVT010000002.1_44,CBVT010000002.1_45",2,"RM_Type_IV__FAM_1,RM_Type_IV__Type_IV_01","GCA_000513395.1"
"31","CBVT010000005.1_Dnd_ABCDEFGH_3","Dnd","Dnd_ABCDEFGH","Defense","CBVT010000005.1_118","CBVT010000005.1_126","CBVT010000005.1_118,CBVT010000005.1_119,CBVT010000005.1_120,CBVT010000005.1_123,CBVT010000005.1_124,CBVT010000005.1_125,CBVT010000005.1_126",7,"Dnd_ABCDEFGH__DptF,Dnd_ABCDEFGH__DptG,Dnd_ABCDEFGH__DptH,Dnd__DndB,Dnd__DndC,Dnd__DndD,Dnd__DndE","GCA_000513395.1"
"32","CBVT010000006.1_RM_Type_III_6","RM","RM_Type_III","Defense","CBVT010000006.1_12","CBVT010000006.1_13","CBVT010000006.1_12,CBVT010000006.1_13",2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","GCA_000513395.1"
"33","CBVT010000006.1_Prometheus_1","Prometheus","Prometheus","Defense","CBVT010000006.1_1336","CBVT010000006.1_1336","CBVT010000006.1_1336",1,"Prometheus__ProA","GCA_000513395.1"
"34","CBVT010000006.1_RM_Type_IV_7","RM","RM_Type_IV","Defense","CBVT010000006.1_1337","CBVT010000006.1_1337","CBVT010000006.1_1337",1,"RM_Type_IV__Type_IV_03","GCA_000513395.1"
