"","qseqid","UniprotID","Accession","Gene","Hostcode","Specie","Phenotype","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","Genome"
"1","CAPD01000010.1_44","D4HX67","PHI:7161","Csra","552","Erwinia_amylovora","reduced_virulence__loss_of_pathogenicity",100,61,0,0,1,61,1,61,2.42e-36,114,"GCA_000367665.2_ASM36766v2"
"2","CAPD01000010.1_48","F4N6Y1","PHI:124125","Luxs","630","Yersinia_enterocolitica","loss_of_pathogenicity",86,171,24,0,1,171,1,171,2.32e-108,305,"GCA_000367665.2_ASM36766v2"
"3","CAPD01000006.1_24","A0A0U1J4N7","PHI:6697","Yqic","28901","Salmonella_enterica","reduced_virulence",86.1,72,10,0,1,72,1,72,5.77e-37,119,"GCA_000367665.2_ASM36766v2"
"4","CAPD01000006.1_28","D2TRN3","PHI:124003","Ygib","67825","Citrobacter_rodentium","unaffected_pathogenicity",80,190,34,2,1,187,1,189,1.64e-101,292,"GCA_000367665.2_ASM36766v2"
"5","CAPD01000006.1_77","D4IBH1","PHI:2457","Eam_2938","552","Erwinia_amylovora","reduced_virulence",94.2,52,3,0,1,52,1,52,4.84e-30,98.2,"GCA_000367665.2_ASM36766v2"
"6","CAPD01000006.1_99","Q8ZJY5","PHI:7575","Yjiy","28901","Salmonella_enterica","reduced_virulence__unaffected_pathogenicity",85.8,717,101,1,1,717,1,716,0,1229,"GCA_000367665.2_ASM36766v2"
"7","CAPD01000006.1_107","Q58PW8","PHI:2464","Hsva","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity",98.4,366,6,0,1,366,1,366,5.64e-279,753,"GCA_000367665.2_ASM36766v2"
"8","CAPD01000006.1_108","Q58PW9","PHI:2465","Hsvb","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity",91.6,415,35,0,1,415,1,415,1.78e-284,771,"GCA_000367665.2_ASM36766v2"
"9","CAPD01000006.1_109","Q58PX0","PHI:2466","Hsvc","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity",94.7,414,22,0,1,414,1,414,4.61e-291,787,"GCA_000367665.2_ASM36766v2"
"10","CAPD01000006.1_112","D4HVL8","PHI:6338","Hrcu","552","Erwinia_amylovora","loss_of_pathogenicity",99.2,360,3,0,1,360,1,360,2.09e-246,670,"GCA_000367665.2_ASM36766v2"
"11","CAPD01000006.1_117","D4HVM3","PHI:6339","Hrpp","552","Erwinia_amylovora","loss_of_pathogenicity",98.1,158,3,0,1,158,1,158,5.06e-117,326,"GCA_000367665.2_ASM36766v2"
"12","CAPD01000006.1_119","Q6WEF6","PHI:10603","Hrcn","554","Pectobacterium_carotovorum","unaffected_pathogenicity__reduced_virulence",85.6,278,40,0,1,278,178,455,1.2e-160,453,"GCA_000367665.2_ASM36766v2"
"13","CAPD01000006.1_123","Q46640","PHI:2468","Hrpj","552","Erwinia_amylovora","reduced_virulence",100,338,0,0,1,338,51,388,7.3e-232,633,"GCA_000367665.2_ASM36766v2"
"14","CAPD01000006.1_124","D4HVM9","PHI:5281__PHI:124498","Hrpl","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity",100,182,0,0,1,182,1,182,1.06e-132,367,"GCA_000367665.2_ASM36766v2"
"15","CAPD01000006.1_127","Q9X3T0","PHI:3671__PHI:3677","Hrps","552","Erwinia_amylovora","loss_of_pathogenicity",100,324,0,0,1,324,1,324,5.1e-238,645,"GCA_000367665.2_ASM36766v2"
"16","CAPD01000006.1_136","Q9FCZ1","PHI:123739","Hrcc","66269","Pantoea_stewartii","unaffected_pathogenicity__reduced_virulence",80.9,677,127,2,1,676,1,676,0,1076,"GCA_000367665.2_ASM36766v2"
"17","CAPD01000006.1_139","Q01099","PHI:2467__PHI:2475","Hrpn","552","Erwinia_amylovora","reduced_virulence__loss_of_pathogenicity",95.8,403,17,0,1,403,1,403,4.37e-226,622,"GCA_000367665.2_ASM36766v2"
"18","CAPD01000006.1_144","Q6ZXG2","PHI:2931","Dspa/e","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)",100,359,0,0,1,359,1,359,4.07e-233,686,"GCA_000367665.2_ASM36766v2"
"19","CAPD01000006.1_236","P21170","PHI:124410","Spea_(np_417413.1)","1778540","Dickeya_fangzhongdai","reduced_virulence",87.2,658,84,0,1,658,1,658,0,1172,"GCA_000367665.2_ASM36766v2"
